	IG flesh	MG flesh	Br flesh	Or Flesh	Rd flesh	IG peel	MG peel	Br peel	Or peel 	Rd peel		A_IG-FLESH	B_IG-FLESH	C_IG-FLESH	A_MG-FLESH	B_MG-FLESH	C_MG-FLESH	A_BR-FLESH	B_BR-FLESH	C_BR-FLESH	A_OR-FLESH	B_OR-FLESH	C_OR-FLESH	A_RED-FLESH	B_RED-FLESH	C_RED-FLESH	A_IG-PEEL	B_IG-PEEL	C_IG-PEEL	A_MG-PEEL	B_MG-PEEL	C_MG-PEEL	A_BR-PEEL	B_BR-PEEL	C_BR-PEEL	A_OR-PEEL	B_OR-PEEL	C_OR-PEEL	A_RED-PEEL	B_RED-PEEL	C_RED-PEEL	Average (all conditions)
Shikimic_acid	1	1	1	0	1	1	1	1	1	0		0,029791098	0,01449036	0,02696792	0,035714366	0,016178658	0,009389577	0,005350994	0,058356304	0,006674519	0,013949328	0,00895385	0,007089445	0,021620942	0,117091547	0,020523915	0,030422239	0,017544358	0,028033973	0,031998333	0,01032884	0,011154543	0,006741038	0,018071909	0,005872485	0,00435717	0,02048806	0,006846358	0,007078918	0,011255268	0,009481241	0,0203939185
Citric	0	1	1	1	1	0	0	1	1	0		3,786659607	3,899461194	3,06235881	24,41173767	22,36191343	16,85481601	29,48390257	32,3832925	29,94343422	29,20102738	47,09796084	28,72929349	34,42586426	41,89069172	34,92108368	3,342465289	4,783263179	6,746260778	14,11216091	2,757352597	5,155846315	7,424002791	9,220463331	9,257457194	10,50656255	4,781596538	10,54328497	8,223250212	10,82253266	0,263242065	16,346441292
Argenine	1	1	1	1	1	1	1	1	1	1		0,0018934	0,001045996	0,000861763	0,000595349	0,000578104	0,000549305	0,000536436	0,001323158	0,000764396	0,000603824	0,000732303	0,001020985	0,001033269	0,001828462	0,001818124	0,001092503	0,000386678	0,00122012	0,001446443	0,00051706	0,001117279	0,000597289	0,000437675	0,000582801	0,001961489	0,001778903	0,001458623	0,000335677	0,000932914	0,000731069	0,0009927132
Dehydroascorbic_acid	0	0	1	1	1	1	1	1	1	1		0,269923515	0,166043849	0,164777996	0,277168222	0,142391535	0,173908644	0,207618317	0,342185702	0,135293808	0,260662733	0,319503915	0,250827356	0,340117041	0,586252257	0,390473044	0,326433027	0,212318914	0,261266873	0,638651685	0,375805569	0,593409151	0,550553285	0,852398517	0,426631237	0,502850458	1,041973573	0,47036253	0,988066206	1,127288859	0,881713947	0,4425623922
Quinic_acid	1	1	1	1	1	1	0	0	0	1		0,643580776	0,22849267	0,590049401	0,181804879	0,191990788	0,147607896	0,133379903	0,157836392	0,16644787	0,167203342	0,237841558	0,152718807	0,402396382	0,545815525	0,463058975	0,860761331	0,301053991	1,219987896	0,117731525	0,077784705	0,078212487	0,044336514	0,116688335	0,041595656	0,133789063	0,226242746	0,088786735	0,422723212	0,552319759	0,390678951	0,3027639357
Fructose	1	1	1	1	1	0	0	1	1	1		22,01806438	15,31459918	21,46012364	24,59935044	21,36969096	24,3212356	27,87134823	20,22084241	22,60007231	26,27661792	31,4011283	26,62460439	39,08407693	40,04598335	36,10243987	3,299107204	3,077903462	5,805728112	9,015518228	9,462283386	12,33822932	12,79212146	19,08666954	12,57669103	17,24130284	15,02330087	14,33014433	28,88735588	37,32231981	25,77089623	20,8446583204
d-Galactose	0	0	1	1	1	0	0	0	1	1		0,000513672	0,000441873	0,000524711	0,000468583	0,000453504	0,000295308	0,001671029	0,001311108	0,000416704	0,001340341	0,000855101	0,000517078	0,001723647	0,001629975	0,000717388	0,000188281	0,000540856	0,000279451	0,000241275	0,000470561	0,000134167	0,00026329	0,000712769	0,000145909	0,002773581	0,001171584	0,000129824	0,010396446	0,001797598	0,000691349	0,0010938988
Ascorbic_acid	0	0	0	1	1	0	0	0	1	1		0,001758652	0,001046326	0,005886457	0,004372399	0,003045025	0,010128882	0,008822169	0,001822043	0,009024701	0,039775342	0,024167728	0,014837586	0,035328826	0,046679757	0,050229364	0,005782546	0,000489288	0,003128319	0,00682512	0,001158253	0,009051621	0,02089627	0,009186163	0,009359008	0,071987383	0,124633554	0,04430285	0,250339939	0,261165435	0,191288014	0,0422173007
Mannose	1	1	1	1	1	0	0	1	1	1		55,78307663	41,30100264	53,06257984	63,61373948	50,65044169	61,2435156	68,5532246	51,87555506	56,02011154	68,68755124	74,2214118	67,74181756	88,7221863	97,23738691	87,71335718	7,214488564	6,054983526	13,16140779	20,12531774	18,5693573	27,73815208	27,52051177	45,87898161	25,55858133	41,08305213	33,78031418	30,00653306	59,1516222	82,45898676	51,94568822	49,2224978777
Tyrosine	1	1	1	1	1	1	1	1	1	1		0,002938589	0,001926344	0,000920769	0,001349981	0,001844644	0,000615816	0,0017695	0,001185571	0,000850672	0,002166258	0,002675389	0,001563355	0,002251077	0,004038526	0,002841325	0,001758395	0,000656675	0,000669684	0,001897538	0,002050874	0,000968886	0,001660713	0,00203057	0,000576199	0,001682526	0,003126863	0,000438283	0,001427012	0,002959878	0,00313788	0,0017993264
Glucose	1	1	1	1	1	0	0	1	1	1		4,132800993	3,078840529	4,144463182	4,875113249	4,007417353	4,886987125	5,35762038	4,161919312	4,411020866	5,648288408	6,343389067	5,44473951	8,08332523	8,578002576	7,468702305	0,649168216	0,578344803	1,010371481	1,585554475	1,491917853	2,062808398	2,108959684	3,718607004	1,836573318	3,030800881	2,754167601	2,18281936	4,926099239	7,046093561	4,278504954	3,9961140304
trans_p-coumaric_acid	1	1	1	1	1	0	0	1	1	1		0,035609798	0,028720273	0,03255675	0,0450625	0,03132933	0,042723295	0,053554486	0,039214271	0,039800751	0,060379736	0,05202954	0,052148888	0,067830701	0,078088556	0,067742602	0,006512506	0,005501475	0,00845907	0,018147527	0,012088125	0,022534821	0,022965202	0,039187106	0,016787644	0,032231391	0,026590773	0,021387666	0,054789275	0,068462672	0,036509564	0,0372982098
Glucopyranose	1	1	1	1	1	0	0	0	0	0		0,317047871	0,759466798	0,692976039	2,775450957	0,606753216	0,128985166	0,25769275	6,123012053	0,178572622	1,819734187	0,233375718	0,119268252	0,759793558	8,047249541	1,066184737	0,045833332	0,606242148	0,303115294	1,205571659	0,104744115	0,082788661	0,174650035	0,45797392	0,017199864	0,190118363	0,565019578	0,202923971	0,113641593	0,391220114	0,186900081	0,9511168731
Gluconic acid	1	1	1	1	1	1	1	1	1	1		0,035139506	0,036839672	0,034921455	0,033939642	0,04415381	0,047737854	0,035583518	0,062542221	0,046709098	0,059124894	0,075128569	0,051063668	0,073528496	0,103924747	0,092446481	0,03825358	0,04468771	0,034756992	0,056341015	0,02754166	0,04724158	0,020000639	0,0542515	0,029999676	0,057189172	0,082278794	0,0571631	0,118802263	0,112770717	0,100395909	0,0571485979
Hexadecanoic_acid_	1	1	1	1	1	1	1	1	1	1		0,022056618	0,019801164	0,014911891	0,016513405	0,012830309	0,012303667	0,009286336	0,013403548	0,013568585	0,012941607	0,024931006	0,011724511	0,012168942	0,046650472	0,016771418	0,036132948	0,018197553	0,031783156	0,023393749	0,008491851	0,016442792	0,025940243	0,013081709	0,010617847	0,011390756	0,041458156	0,011246019	0,01322364	0,062788769	0,014553427	0,0199535365
Inositol_myo-ino	1	1	1	1	1	1	1	1	1	1		3,130844818	2,223844364	2,391212801	1,321353246	1,040438855	1,949992394	1,511160078	1,57532096	1,37242108	2,23427344	2,262183941	2,077423583	2,446737755	3,320484976	2,949577066	5,87852204	3,115392845	3,29895933	4,605394278	1,364966648	3,920584788	2,225939423	2,63457364	2,148322121	3,980410071	2,799203712	2,604799441	4,627681876	5,601381553	5,045124135	2,8552841753
